Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
12-1-205_R1	245.0	341.0	398.5	357.0	432.0	521.0	673.5	1055.0	1548.0	1970.5	2733.0	3983.0	5522.0	7059.0	8765.0	11524.0	15582.5	20561.5	25486.5	29417.5	32647.5	36784.0	42643.0	47539.0	51073.0	53838.5	54570.5	56109.0	59045.5	61878.5	64483.5	65366.5	66881.0	71445.0	77238.5	83040.5	89657.0	98500.0	108592.0	120973.5	136470.0	153325.5	171687.0	190778.5	209869.0	227723.5	244851.5	261000.0	272977.0	282510.5	289177.5	291191.5	288990.5	282467.0	271269.0	256944.5	240246.5	220479.0	199716.5	178755.5	157564.5	137543.5	120128.0	104662.5	90491.5	78231.5	67514.5	57573.0	48728.5	41641.5	35798.5	29647.5	24042.5	19151.0	14332.0	10538.5	7657.5	5286.5	3472.0	2221.0	1341.5	762.5	423.5	231.0	138.5	84.0	57.0	40.5	24.5	24.5	27.0	23.0	19.0	12.0	8.0	10.0	11.0	9.0	6.5	8.0	26.5
12-1-205_R2	563.0	524.0	549.0	721.5	952.0	1242.5	1652.0	2241.0	2999.5	3866.0	5023.5	6703.5	8621.0	10420.0	12566.5	15577.5	19398.0	23807.5	27827.0	31525.5	35182.5	39354.0	44182.5	47999.5	51435.0	54405.5	55448.0	57186.5	60298.5	63160.0	65414.0	66672.5	69021.5	73199.0	78667.5	84805.0	90544.5	98025.0	107977.0	120152.0	135322.5	152601.5	170552.0	189185.0	208012.0	225732.0	241759.5	256491.5	268268.0	276247.0	282082.5	284294.5	282680.5	276854.5	266402.5	252838.0	236114.0	217357.0	197199.0	176919.0	157483.5	137850.0	120316.5	105216.0	90864.5	78133.0	67721.0	58216.0	49947.5	42766.0	36241.5	30287.0	24586.5	19559.0	15053.0	11516.0	8581.0	6115.5	4277.5	2904.0	1915.0	1243.0	812.0	529.0	356.0	250.5	178.0	139.0	113.0	87.5	69.5	56.0	52.5	50.5	43.0	40.0	36.5	28.5	28.5	28.0	52.0
AG0004_R1	651.0	495.5	356.0	408.5	469.5	467.5	529.5	849.0	1043.5	1165.5	1493.0	2237.5	3130.5	4102.5	5675.5	8236.5	11060.0	14997.5	19255.5	22507.0	26540.0	31761.5	37912.5	43414.0	48496.5	52245.0	53895.0	55255.0	57599.0	62077.5	64997.5	65659.0	69302.0	76756.0	86075.5	98272.0	114147.5	133620.0	157983.5	188574.5	222547.0	257386.5	293330.0	329918.5	366880.0	403250.0	441163.0	475839.5	501699.5	523658.0	541509.5	549493.0	549899.5	542247.0	523479.5	497828.5	468057.5	432873.0	394485.5	356529.0	319965.5	284116.0	250623.5	223133.5	199152.5	174192.0	149348.0	126554.0	106673.5	91362.5	78017.5	64267.0	52146.0	41217.5	30958.0	22707.0	16224.0	11061.0	7121.5	4507.0	2668.0	1552.5	835.5	429.0	242.0	136.5	79.5	57.0	45.0	40.5	40.0	34.0	23.0	17.0	11.5	10.0	9.0	4.0	3.0	2.5	1.5
AG0004_R2	436.0	341.5	239.0	261.5	328.0	379.5	432.0	618.0	895.5	1202.0	1651.5	2351.5	3281.0	4439.0	6019.0	8319.5	11358.5	15308.0	19129.0	22513.0	26687.5	32141.0	38182.0	43164.5	48278.5	52568.0	54814.5	56504.5	59343.0	63979.5	66856.0	67923.5	71644.0	79404.0	89054.5	100935.5	116563.5	135680.5	159438.5	189066.0	222131.5	255939.0	290618.5	325464.5	361176.5	397883.5	434551.0	468631.5	495027.5	516238.0	534651.5	542876.0	542984.0	536152.0	519221.5	495964.0	467120.5	432309.0	395260.5	358873.5	322750.0	287209.5	254114.5	226169.5	201852.5	176505.5	151340.0	128894.0	109484.0	93979.5	80343.0	67011.5	54431.5	43195.0	32941.0	24600.0	18161.0	12735.5	8669.5	5744.5	3626.0	2273.0	1425.5	889.5	560.0	355.0	246.5	202.0	159.0	124.0	105.5	87.0	68.5	51.5	44.5	34.0	21.5	15.5	16.0	13.5	10.0
B2_R1	0.5	0.6666666666666666	1.6666666666666665	2.6666666666666665	1.6666666666666665	1.9999999999999998	2.333333333333333	3.0	4.999999999999999	7.9999999999999964	10.0	13.33333333333334	25.999999999999975	47.33333333333339	66.00000000000014	130.99999999999935	223.66666666666865	378.6666666666626	632.6666666666687	1012.3333333333785	1598.6666666665824	2380.999999999965	3232.000000000352	4368.666666667164	5844.666666665821	6953.6666666648125	7945.333333330577	8851.666666664885	9436.999999999283	10223.333333334047	11462.3333333363	13015.000000005792	14281.666666674762	14966.666666676008	16504.00000001148	19092.3333333354	21981.999999991553	26335.999999975713	32965.66666662042	41745.6666666843	52624.33333343012	66449.33333351077	83568.99999992832	102435.99999965377	121624.33333270787	140797.66666618676	162442.33333348337	185479.66666748718	204953.66666805395	219279.33333513755	227901.66666872182	231205.0000021513	227399.33333537387	218797.00000179018	203719.66666801804	182329.6666673955	162311.00000014622	143093.99999958693	123323.66666601648	105116.99999961475	89832.99999983716	76757.33333336077	65912.66666685192	56614.000000125816	49384.33333340655	43264.66666669535	37063.99999998357	31449.333333290444	26687.333333307768	22337.999999990257	17531.66666667441	13516.000000006703	10059.666666667083	6811.333333331609	4415.666666667121	2760.0000000001373	1587.666666666585	863.6666666666949	453.333333333325	233.66666666666893	144.33333333333306	97.66666666666636	68.33333333333344	46.66666666666672	33.33333333333329	21.99999999999999	15.666666666666677	11.333333333333336	7.9999999999999964	5.666666666666665	6.333333333333331	4.333333333333333	3.666666666666667	3.666666666666667	2.333333333333333	2.333333333333333	3.3333333333333335	1.6666666666666665	1.3333333333333333	3.3333333333333335	3.0
B2_R2	5.5	6.666666666666664	7.33333333333333	5.333333333333332	5.999999999999998	11.66666666666667	12.333333333333337	15.666666666666677	21.666666666666657	30.999999999999957	54.00000000000011	79.99999999999994	101.99999999999963	142.333333333333	189.66666666666768	276.3333333333351	352.66666666666407	515.333333333322	776.666666666685	1228.3333333333333	1805.9999999998686	2655.0000000000896	3479.6666666671313	4510.000000000368	6017.333333332331	7079.333333331365	8119.666666663752	8983.666666665125	9640.66666666632	10477.000000001175	11764.000000003516	13257.6666666729	14681.333333342156	15476.000000010268	17020.333333342936	19269.333333334755	22204.66666665741	26485.666666641835	32782.99999995242	41126.000000013126	51952.66666675857	65194.33333352158	81697.66666662222	99929.99999969023	119465.66666607262	138714.3333327928	159163.66666672128	181713.33333404423	201325.33333461502	216098.00000171163	224908.66666863472	228542.0000020738	225713.3333353248	217251.00000174518	203171.33333466874	182664.00000073857	162342.33333348046	143601.9999996017	124427.66666600041	106474.33333292833	91236.33333315008	78153.33333334046	66993.00000016953	57565.000000132735	50240.66666674611	44086.333333368	38065.99999999086	32606.333333286235	27906.333333303333	23465.66666665282	18897.66666666944	14907.333333342567	11411.000000002874	8366.666666664003	6066.999999998952	4203.000000000648	2836.3333333335054	1920.333333333176	1255.9999999999936	855.666666666694	572.9999999999952	393.66666666666174	274.6666666666685	197.6666666666679	143.99999999999972	106.3333333333329	78.99999999999996	56.00000000000012	45.666666666666714	30.999999999999957	33.999999999999964	28.3333333333333	21.666666666666657	17.000000000000007	17.000000000000007	11.66666666666667	10.0	14.000000000000007	10.333333333333334	18.333333333333336	56.5
B51_R1	1.0	3.666666666666667	5.666666666666665	4.999999999999999	4.333333333333333	5.333333333333332	10.0	12.666666666666671	14.333333333333341	18.666666666666668	26.333333333333307	52.666666666666764	78.66666666666663	128.3333333333326	239.6666666666691	390.3333333333286	593.3333333333309	854.3333333333605	1474.9999999999438	2179.3333333332066	3111.3333333336304	4193.33333333399	5215.33333333306	6536.333333331859	8195.666666663692	9283.666666665671	10184.333333333976	10946.666666668696	11157.000000002412	12046.666666670697	13338.666666673047	14970.000000009348	16614.333333344413	17240.000000008804	18585.00000000391	20597.333333329923	22579.999999989377	26026.333333310173	31626.666666623132	38774.33333332935	47858.33333339544	59976.33333348361	74147.66666673208	90281.33333316397	107117.33333291898	124029.99999933953	140859.9999995219	156581.3333333128	169702.00000036132	181180.33333402872	188815.0000009176	191291.66666765633	189613.6666676075	184575.66666746087	175306.33333385776	160356.33333342266	144036.66666628103	127435.66666595664	111256.9999995254	96286.33333307659	82892.99999993815	70853.00000011336	60917.33333349046	53231.0000001012	46401.33333338484	40363.33333334091	34554.66666663198	29079.333333299066	24703.666666648318	20333.333333330884	16122.000000011443	12267.000000004431	8935.999999998372	6184.333333332179	4082.0000000007385	2554.6666666667106	1503.3333333332707	784.3333333333526	424.66666666666	244.00000000000256	145.99999999999977	100.33333333333299	62.666666666666835	44.33333333333337	34.3333333333333	29.99999999999996	20.999999999999993	14.333333333333341	10.333333333333334	6.666666666666664	7.33333333333333	6.666666666666664	5.666666666666665	4.666666666666666	4.333333333333333	5.333333333333332	4.666666666666666	2.6666666666666665	2.333333333333333	5.999999999999998	7.5
B51_R2	17.0	14.666666666666675	14.000000000000007	11.333333333333336	15.333333333333343	19.333333333333332	27.999999999999968	33.999999999999964	39.0	57.6666666666668	92.3333333333331	125.99999999999929	161.33333333333354	237.00000000000236	352.66666666666407	487.3333333333231	697.0000000000093	1022.666666666713	1604.9999999999143	2288.6666666665897	3254.3333333336955	4414.666666667122	5400.333333332892	6747.666666665	8336.333333330615	9644.333333332994	10478.666666667845	11325.333333336052	11705.333333336743	12513.333333338212	13821.666666673926	15639.666666677233	17131.0000000092	17729.333333340357	19064.00000000217	20986.66666666184	23151.333333320632	26585.66666664147	31861.99999995561	39035.33333333125	47899.000000062406	59677.0000001481	74065.00000006662	89854.99999983684	106704.99999959164	122865.99999935647	139789.33333282408	155204.66666660606	167767.6666669717	178875.33333396164	185497.33333415436	188649.66666757944	187379.66666754248	182012.33333405294	172182.6666671002	158034.66666668843	142024.66666622247	126323.99999930615	110798.99999953207	96076.33333307964	82931.33333327093	71581.66666676942	61686.00000016272	53883.66666677262	46662.66666672008	40891.000000011416	35368.33333330457	30022.666666628968	25732.999999977907	21511.66666665993	17383.333333341616	13657.333333340293	10420.66666666774	7781.9999999973925	5539.999999999432	3859.666666667304	2656.666666666757	1769.3333333332102	1168.0000000000136	827.3333333333575	581.6666666666629	432.6666666666595	326.66666666666555	232.6666666666689	168.66666666666708	120.66666666666603	100.99999999999964	75.33333333333334	47.66666666666673	34.666666666666636	31.33333333333329	26.66666666666664	21.99999999999999	18.666666666666668	15.333333333333343	15.333333333333343	15.666666666666677	13.33333333333334	12.666666666666671	15.333333333333343	49.5
BF0072_R1	139.0	166.5	228.5	258.0	321.0	405.0	526.0	896.5	1330.0	1599.0	2173.5	3311.0	4762.5	5842.5	7151.5	9739.5	12450.5	16194.0	20945.0	24445.5	27541.0	31834.0	37507.5	41743.0	45591.0	48275.0	48324.0	48765.5	50470.5	53346.0	54727.0	54877.5	57193.5	63152.0	70294.5	78544.5	89956.0	104158.0	121374.0	143743.0	169103.0	195712.0	225720.5	257021.0	287902.0	320731.0	354244.0	383236.0	405412.5	425555.0	442802.5	449665.0	446196.5	436940.0	423407.0	403268.5	377327.5	346708.0	315015.0	282853.0	251500.5	221705.5	193183.5	168231.5	147263.0	129242.5	112058.5	95670.0	81549.5	70498.0	60690.0	50158.0	40079.0	31442.0	23952.0	18078.0	12936.5	8718.0	5726.0	3657.0	2214.0	1312.5	755.0	409.5	206.0	115.5	67.0	57.0	49.0	32.0	33.0	34.0	27.0	19.5	14.0	11.5	11.5	10.5	11.0	7.5	3.0
